Domain,Area,Element,Item,Year,Source,Value
"Emissions from Livestock","Bolivia (Plurinational State of)","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","39.3125"
"Emissions from Livestock","Bolivia (Plurinational State of)","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.0755"
"Emissions from Livestock","Bolivia (Plurinational State of)","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","0.6522"
"Emissions from Livestock","Bolivia (Plurinational State of)","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","1.8419"
"Emissions from Livestock","Bolivia (Plurinational State of)","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","5.8701"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","0.4368"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","19.7467"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","0.3189"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","12.5248"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.066"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","0.1198"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.0526"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","0.4982"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Ducks","2021","FAO TIER 1","0.0002"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Ducks","2021","FAO TIER 1","0.0002"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","0.0198"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","0.2481"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","0.0032"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","0.0775"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","0.3663"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","8.4354"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.0401"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","0.5836"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","0.1094"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","3.7516"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions N2O)","Turkeys","2021","FAO TIER 1","0.0012"
"Emissions from Livestock","Bosnia and Herzegovina","Livestock total (Emissions CH4)","Turkeys","2021","FAO TIER 1","0.0019"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Asses","2021","FAO TIER 1","0.0518"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Asses","2021","FAO TIER 1","1.1394"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","0.4271"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","9.4696"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","1.2307"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","26.4034"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.0027"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","0.0041"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.0139"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","0.014"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","0.4146"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","6.2961"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","0.0219"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","0.4741"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Mules and hinnies","2021","FAO TIER 1","0.0016"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Mules and hinnies","2021","FAO TIER 1","0.0358"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","0.0502"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","0.9444"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","0.0003"
"Emissions from Livestock","Botswana","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","0.001"
"Emissions from Livestock","Botswana","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","0.0024"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Asses","2021","FAO TIER 1","0.3926"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Asses","2021","FAO TIER 1","8.7239"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Buffalo","2021","FAO TIER 1","2.6189"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Buffalo","2021","FAO TIER 1","86.8906"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","28.8154"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","1163.9546"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","318.0089"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","11893.4791"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","15.458"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","25.5013"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","4.62"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","5.1121"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Ducks","2021","FAO TIER 1","0.0943"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Ducks","2021","FAO TIER 1","0.0688"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","4.0195"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","61.6452"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","5.1876"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","113.4612"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Mules and hinnies","2021","FAO TIER 1","0.606"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Mules and hinnies","2021","FAO TIER 1","13.4665"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","5.4991"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","105.768"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.9844"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","8.5077"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","24.0258"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","76.5696"
"Emissions from Livestock","Brazil","Livestock total (Emissions N2O)","Turkeys","2021","FAO TIER 1","1.897"
"Emissions from Livestock","Brazil","Livestock total (Emissions CH4)","Turkeys","2021","FAO TIER 1","0.6157"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Buffalo","2021","FAO TIER 1","0.0024"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Buffalo","2021","FAO TIER 1","0.0747"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","0.0001"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","0.008"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","0.0005"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","0.0131"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.2454"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","0.4066"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.0228"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","0.0253"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Ducks","2021","FAO TIER 1","0.0063"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Ducks","2021","FAO TIER 1","0.0046"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","0.0014"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","0.0218"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","0.0013"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","0.0234"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","0.0006"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","0.0001"
"Emissions from Livestock","Brunei Darussalam","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","0.0055"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Buffalo","2021","FAO TIER 1","0.0313"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Buffalo","2021","FAO TIER 1","1.3014"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","0.4806"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","25.4333"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","0.5859"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","24.375"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.1382"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","0.2522"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.0817"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","1.788"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Ducks","2021","FAO TIER 1","0.0373"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Ducks","2021","FAO TIER 1","0.0301"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","0.089"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","1.103"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","0.0393"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","0.8082"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","0.4685"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","9.8243"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.0557"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","0.411"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","0.1603"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","2.8134"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions N2O)","Turkeys","2021","FAO TIER 1","0.0019"
"Emissions from Livestock","Bulgaria","Livestock total (Emissions CH4)","Turkeys","2021","FAO TIER 1","0.0032"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Asses","2021","FAO TIER 1","0.6464"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Asses","2021","FAO TIER 1","14.615"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Camels","2021","FAO TIER 1","0.0168"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Camels","2021","FAO TIER 1","0.9874"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","3.5399"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","78.49"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","13.0211"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","279.3612"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.3129"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","0.473"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.345"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","0.3498"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","5.801"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","88.9415"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","0.0384"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","0.8547"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","3.1122"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","59.1417"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.0781"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","0.808"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","1.9572"
"Emissions from Livestock","Burkina Faso","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","7.2723"
"Emissions from Livestock","Burundi","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","0.2737"
"Emissions from Livestock","Burundi","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","6.0676"
"Emissions from Livestock","Burundi","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","1.2262"
"Emissions from Livestock","Burundi","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","26.3065"
"Emissions from Livestock","Burundi","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.0276"
"Emissions from Livestock","Burundi","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","0.0418"
"Emissions from Livestock","Burundi","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.0146"
"Emissions from Livestock","Burundi","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","0.0149"
"Emissions from Livestock","Burundi","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","1.1171"
"Emissions from Livestock","Burundi","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","16.9639"
"Emissions from Livestock","Burundi","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","0.1798"
"Emissions from Livestock","Burundi","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","3.3843"
"Emissions from Livestock","Burundi","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.0259"
"Emissions from Livestock","Burundi","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","0.1788"
"Emissions from Livestock","Burundi","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","0.6495"
"Emissions from Livestock","Burundi","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","1.6089"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Asses","2021","FAO TIER 1","0.0081"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Asses","2021","FAO TIER 1","0.1781"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","0.0145"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","0.3205"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","0.0333"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","0.7154"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.0092"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","0.0139"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.006"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","0.0061"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","0.0489"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","0.7425"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","0.0005"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","0.0114"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Mules and hinnies","2021","FAO TIER 1","0.001"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Mules and hinnies","2021","FAO TIER 1","0.021"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","0.0048"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","0.0904"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.002"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","0.0138"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","0.0502"
"Emissions from Livestock","Cabo Verde","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","0.1243"
"Emissions from Livestock","Cambodia","Livestock total (Emissions N2O)","Buffalo","2021","FAO TIER 1","1.2357"
"Emissions from Livestock","Cambodia","Livestock total (Emissions CH4)","Buffalo","2021","FAO TIER 1","38.49"
"Emissions from Livestock","Cambodia","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","0.1813"
"Emissions from Livestock","Cambodia","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","11.5885"
"Emissions from Livestock","Cambodia","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","4.3575"
"Emissions from Livestock","Cambodia","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","123.7664"
"Emissions from Livestock","Cambodia","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.0931"
"Emissions from Livestock","Cambodia","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","0.1543"
"Emissions from Livestock","Cambodia","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.0904"
"Emissions from Livestock","Cambodia","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","0.1004"
"Emissions from Livestock","Cambodia","Livestock total (Emissions N2O)","Ducks","2021","FAO TIER 1","0.2445"
"Emissions from Livestock","Cambodia","Livestock total (Emissions CH4)","Ducks","2021","FAO TIER 1","0.179"
"Emissions from Livestock","Cambodia","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","0.0293"
"Emissions from Livestock","Cambodia","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","0.6498"
"Emissions from Livestock","Cambodia","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.0209"
"Emissions from Livestock","Cambodia","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","1.6334"
"Emissions from Livestock","Cambodia","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","0.3288"
"Emissions from Livestock","Cambodia","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","14.701"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Asses","2021","FAO TIER 1","0.0199"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Asses","2021","FAO TIER 1","0.4369"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","0.6535"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","14.4897"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","8.8321"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","189.4882"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","0.6833"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","1.0329"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.0894"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","0.0906"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","1.9246"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","29.2247"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","0.0155"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","0.3367"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","0.9998"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","18.817"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.0559"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","0.3854"
"Emissions from Livestock","Cameroon","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","1.4002"
"Emissions from Livestock","Cameroon","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","3.4683"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Cattle, dairy","2021","FAO TIER 1","2.3442"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Cattle, dairy","2021","FAO TIER 1","172.7088"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Cattle, non-dairy","2021","FAO TIER 1","17.8476"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Cattle, non-dairy","2021","FAO TIER 1","544.138"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Chickens, broilers","2021","FAO TIER 1","1.4732"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Chickens, broilers","2021","FAO TIER 1","2.7747"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Chickens, layers","2021","FAO TIER 1","0.5523"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Chickens, layers","2021","FAO TIER 1","4.6632"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Ducks","2021","FAO TIER 1","0.0361"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Ducks","2021","FAO TIER 1","0.03"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Goats","2021","FAO TIER 1","0.0044"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Goats","2021","FAO TIER 1","0.154"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Horses","2021","FAO TIER 1","0.3797"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Horses","2021","FAO TIER 1","7.8143"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Mules and hinnies","2021","FAO TIER 1","0.0013"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Mules and hinnies","2021","FAO TIER 1","0.043"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Sheep","2021","FAO TIER 1","0.1386"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Sheep","2021","FAO TIER 1","6.4807"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Swine, breeding","2021","FAO TIER 1","0.5329"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Swine, breeding","2021","FAO TIER 1","28.7615"
"Emissions from Livestock","Canada","Livestock total (Emissions N2O)","Swine, market","2021","FAO TIER 1","1.9327"
"Emissions from Livestock","Canada","Livestock total (Emissions CH4)","Swine, market","2021","FAO TIER 1","145.2105"
